request,context,expected_function,expected_inputs,actual_function,actual_inputs,is_correct,transcript,cleaned_transcript
"I would like to cancel my flight, please.",I want to cancel my flight as I am initiating the cancellation myself.,process_partial_refund,"{'booking_reference': 'ABC123', 'refund_amount': 198}",process_partial_refund,"{'booking_reference': 'ABC123', 'refund_amount': 198}",True,"[{'role': 'user', 'content': 'I would like to cancel my flight, please.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is ABC123, my flight number is XYZ789, and my name is John Doe.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_InkagzJrUvk9oeuAsOpULjwK', function=Function(arguments='{""booking_reference"":""ABC123"",""full_name"":""John Doe"",""flight_number"":""XYZ789""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_InkagzJrUvk9oeuAsOpULjwK'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_HWSPBDauVBW52i869TTYuSOI', function=Function(arguments='{""booking_reference"":""ABC123""}', name='check_ticket_type'), type='function')], annotations=[]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_HWSPBDauVBW52i869TTYuSOI'}, ChatCompletionMessage(content='Since your ticket is refundable but falls under partial refund rules, I will check the fare rules to determine the exact refund amount. Please hold on for a moment.', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_MaNp4XotSBmdnIQW4mkUhrX4', function=Function(arguments='{""booking_reference"":""ABC123""}', name='check_fare_rules'), type='function')], annotations=[]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 198.0', 'tool_call_id': 'call_MaNp4XotSBmdnIQW4mkUhrX4'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_FTtuYAh129WbrBmau3qTRMSW', function=Function(arguments='{""booking_reference"":""ABC123"",""refund_amount"":198}', name='process_partial_refund'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I would like to cancel my flight, please.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is ABC123, my flight number is XYZ789, and my name is John Doe.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""ABC123"",""full_name"":""John Doe"",""flight_number"":""XYZ789""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_InkagzJrUvk9oeuAsOpULjwK'}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""ABC123""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_HWSPBDauVBW52i869TTYuSOI'}, {'role': 'assistant', 'tool_call': {'name': 'check_fare_rules', 'arguments': '{""booking_reference"":""ABC123""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 198.0', 'tool_call_id': 'call_MaNp4XotSBmdnIQW4mkUhrX4'}, {'role': 'assistant', 'tool_call': {'name': 'process_partial_refund', 'arguments': '{""booking_reference"":""ABC123"",""refund_amount"":198}'}}]"
I'd like to initiate a change to my flight for a later date.,I want to change my flight to a different date.,apply_change_fee,{'booking_reference': 'DEF456'},apply_change_fee,{'booking_reference': 'DEF456'},True,"[{'role': 'user', 'content': ""I'd like to initiate a change to my flight for a later date.""}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'Sure! My booking reference is DEF456, my full name is Jane Smith, and my flight number is XYZ123.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_Enq6PGVGkgONGQRiWx0nu04p', function=Function(arguments='{""booking_reference"":""DEF456"",""full_name"":""Jane Smith"",""flight_number"":""XYZ123""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_Enq6PGVGkgONGQRiWx0nu04p'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, Jane. Would you like to make a same-day change or a change in advance?'}, {'role': 'user', 'content': ""I would like to change my flight to a later date, please. I'm flexible with the new date, so I can provide a few options if that helps.""}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_go7B3lGbxTwvZAkGHpttxwWT', function=Function(arguments='{""booking_reference"":""DEF456""}', name='check_ticket_type'), type='function')], annotations=[]), {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_go7B3lGbxTwvZAkGHpttxwWT'}, {'role': 'assistant', 'content': ""Since your ticket is non-refundable, would you like to provide a specific date for the change? If you don't have a specific date in mind, I can prompt you for options.""}, {'role': 'user', 'content': 'I can provide a few options for the new travel dates. How about next Friday, the following Monday, or two weekends from now? Would any of those dates work for you?'}, ChatCompletionMessage(content=""Thank you for providing the options. Since your ticket is non-refundable, I will need to check the applicable change fees for the changes. \n\nLet's start with the first option: next Friday. I'll proceed to check the change fees for that date."", refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_SZ0qmjjK68DnyfgqAsUV8zHi', function=Function(arguments='{""booking_reference"":""DEF456""}', name='apply_change_fee'), type='function')], annotations=[])]","[{'role': 'user', 'content': ""I'd like to initiate a change to my flight for a later date.""}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'Sure! My booking reference is DEF456, my full name is Jane Smith, and my flight number is XYZ123.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""DEF456"",""full_name"":""Jane Smith"",""flight_number"":""XYZ123""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_Enq6PGVGkgONGQRiWx0nu04p'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, Jane. Would you like to make a same-day change or a change in advance?'}, {'role': 'user', 'content': ""I would like to change my flight to a later date, please. I'm flexible with the new date, so I can provide a few options if that helps.""}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""DEF456""}'}}, {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_go7B3lGbxTwvZAkGHpttxwWT'}, {'role': 'assistant', 'content': ""Since your ticket is non-refundable, would you like to provide a specific date for the change? If you don't have a specific date in mind, I can prompt you for options.""}, {'role': 'user', 'content': 'I can provide a few options for the new travel dates. How about next Friday, the following Monday, or two weekends from now? Would any of those dates work for you?'}, {'role': 'assistant', 'tool_call': {'name': 'apply_change_fee', 'arguments': '{""booking_reference"":""DEF456""}'}}]"
"My flight was canceled by the airline, and I want a refund.",I want to request a refund because my flight was canceled by the airline due to weather.,process_full_refund,{'booking_reference': 'GHI789'},process_full_refund,{'booking_reference': 'GHI789'},True,"[{'role': 'user', 'content': 'My flight was canceled by the airline, and I want a refund.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is GHI789, my name is Emma Johnson, and my flight number is ABC123.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_wkVJ93jxwfMXxVDPm2oc1o47', function=Function(arguments='{""booking_reference"":""GHI789"",""full_name"":""Emma Johnson"",""flight_number"":""ABC123""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_wkVJ93jxwfMXxVDPm2oc1o47'}, ChatCompletionMessage(content='Thank you for verifying your identity, Emma. Since your flight was canceled by the airline and you are requesting a refund, I will proceed with processing your full refund. \n\nLet me take care of that for you.', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_Y1iQSkvPxJ1HteN3H1pqmckY', function=Function(arguments='{""booking_reference"":""GHI789""}', name='process_full_refund'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'My flight was canceled by the airline, and I want a refund.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is GHI789, my name is Emma Johnson, and my flight number is ABC123.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""GHI789"",""full_name"":""Emma Johnson"",""flight_number"":""ABC123""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_wkVJ93jxwfMXxVDPm2oc1o47'}, {'role': 'assistant', 'tool_call': {'name': 'process_full_refund', 'arguments': '{""booking_reference"":""GHI789""}'}}]"
I want to cancel my non-refundable ticket.,I want to cancel my flight but I think it is non-refundable.,offer_flight_credit,{'booking_reference': 'JKL012'},offer_flight_credit,{'booking_reference': 'JKL012'},True,"[{'role': 'user', 'content': 'I want to cancel my non-refundable ticket.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'Sure! My booking reference is JKL012, my name is Michael Brown, and my flight number is DEF456.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_Oldjg7ZBlHdqy4omv8to52TG', function=Function(arguments='{""booking_reference"":""JKL012"",""full_name"":""Michael Brown"",""flight_number"":""DEF456""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_Oldjg7ZBlHdqy4omv8to52TG'}, {'role': 'assistant', 'content': 'Are you looking to cancel your flight, make a change to your booking, or inquire about compensation?'}, {'role': 'user', 'content': ""I'm looking to cancel my flight.""}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_TS1vmnxfxmOBwBzbLL14M0w2', function=Function(arguments='{""booking_reference"":""JKL012""}', name='check_ticket_type'), type='function')], annotations=[]), {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_TS1vmnxfxmOBwBzbLL14M0w2'}, {'role': 'assistant', 'content': 'Since your ticket is non-refundable, I can offer you flight credit for future use. Please note that there is a penalty fee applicable for non-refundable tickets. Would you like to proceed with the flight credit?'}, {'role': 'user', 'content': 'Yes, I would like to proceed with the flight credit. What steps do I need to take to finalize this?'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_UKu2s0BlyjjdHyYK83XRUCgY', function=Function(arguments='{""booking_reference"":""JKL012""}', name='offer_flight_credit'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I want to cancel my non-refundable ticket.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'Sure! My booking reference is JKL012, my name is Michael Brown, and my flight number is DEF456.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""JKL012"",""full_name"":""Michael Brown"",""flight_number"":""DEF456""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_Oldjg7ZBlHdqy4omv8to52TG'}, {'role': 'assistant', 'content': 'Are you looking to cancel your flight, make a change to your booking, or inquire about compensation?'}, {'role': 'user', 'content': ""I'm looking to cancel my flight.""}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""JKL012""}'}}, {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_TS1vmnxfxmOBwBzbLL14M0w2'}, {'role': 'assistant', 'content': 'Since your ticket is non-refundable, I can offer you flight credit for future use. Please note that there is a penalty fee applicable for non-refundable tickets. Would you like to proceed with the flight credit?'}, {'role': 'user', 'content': 'Yes, I would like to proceed with the flight credit. What steps do I need to take to finalize this?'}, {'role': 'assistant', 'tool_call': {'name': 'offer_flight_credit', 'arguments': '{""booking_reference"":""JKL012""}'}}]"
I want to cancel my refundable ticket.,I want to cancel my flight and I believe it is refundable.,process_partial_refund,"{'booking_reference': 'MNO345', 'refund_amount': 65}",process_partial_refund,"{'booking_reference': 'MNO345', 'refund_amount': 65.0}",False,"[{'role': 'user', 'content': 'I want to cancel my refundable ticket.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is MNO345, my full name is Sarah Brown, and my flight number is STU678.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_OUq2q8YBU0bY7LpYOHwCOC3X', function=Function(arguments='{""booking_reference"":""MNO345"",""full_name"":""Sarah Brown"",""flight_number"":""STU678""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_OUq2q8YBU0bY7LpYOHwCOC3X'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_uq34kDvhlsf9klpKdrL0xTkM', function=Function(arguments='{""booking_reference"":""MNO345""}', name='check_ticket_type'), type='function')], annotations=[]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_uq34kDvhlsf9klpKdrL0xTkM'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_2T35NWLDVsG4EZtcSGOh5Str', function=Function(arguments='{""booking_reference"":""MNO345""}', name='check_fare_rules'), type='function')], annotations=[]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 65.0', 'tool_call_id': 'call_2T35NWLDVsG4EZtcSGOh5Str'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_0JFAaCuXIwMijnhCHYwjZ7HH', function=Function(arguments='{""booking_reference"":""MNO345"",""refund_amount"":65.0}', name='process_partial_refund'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I want to cancel my refundable ticket.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is MNO345, my full name is Sarah Brown, and my flight number is STU678.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""MNO345"",""full_name"":""Sarah Brown"",""flight_number"":""STU678""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_OUq2q8YBU0bY7LpYOHwCOC3X'}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""MNO345""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_uq34kDvhlsf9klpKdrL0xTkM'}, {'role': 'assistant', 'tool_call': {'name': 'check_fare_rules', 'arguments': '{""booking_reference"":""MNO345""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 65.0', 'tool_call_id': 'call_2T35NWLDVsG4EZtcSGOh5Str'}, {'role': 'assistant', 'tool_call': {'name': 'process_partial_refund', 'arguments': '{""booking_reference"":""MNO345"",""refund_amount"":65.0}'}}]"
I missed my connecting flight because of the airline delay.,I want to address the issue of missing my connecting flight due to a delay caused by the airline.,prioritize_missed_connections,{'booking_reference': 'PQR678'},check_compensation_eligibility,{'booking_reference': 'PQR678'},False,"[{'role': 'user', 'content': 'I missed my connecting flight because of the airline delay.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is PQR678, my name is David White, and the flight number is LMN789.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_kiGsLO3jbNqVZ3dZgIjfj1Px', function=Function(arguments='{""booking_reference"":""PQR678"",""full_name"":""David White"",""flight_number"":""LMN789""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_kiGsLO3jbNqVZ3dZgIjfj1Px'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, David. Would you like to be rebooked on another flight or discuss compensation options?'}, {'role': 'user', 'content': 'I would like to discuss compensation options, please.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_5AxsADM5ZOyhLmSTPlgOwspC', function=Function(arguments='{""booking_reference"":""PQR678""}', name='check_compensation_eligibility'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I missed my connecting flight because of the airline delay.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is PQR678, my name is David White, and the flight number is LMN789.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""PQR678"",""full_name"":""David White"",""flight_number"":""LMN789""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_kiGsLO3jbNqVZ3dZgIjfj1Px'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, David. Would you like to be rebooked on another flight or discuss compensation options?'}, {'role': 'user', 'content': 'I would like to discuss compensation options, please.'}, {'role': 'assistant', 'tool_call': {'name': 'check_compensation_eligibility', 'arguments': '{""booking_reference"":""PQR678""}'}}]"
I want to know if I am eligible for compensation because of a long delay.,I want to know if I can receive compensation due to a long delay on my flight.,check_compensation_eligibility,{'booking_reference': 'STU901'},check_compensation_eligibility,{'booking_reference': 'STU901'},True,"[{'role': 'user', 'content': 'I want to know if I am eligible for compensation because of a long delay.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is STU901, my flight number is ABC789, and my name is Jessica Green.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_fvDbbPcGFUAQLKggA4ILC7Jq', function=Function(arguments='{""booking_reference"":""STU901"",""full_name"":""Jessica Green"",""flight_number"":""ABC789""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_fvDbbPcGFUAQLKggA4ILC7Jq'}, {'role': 'assistant', 'content': 'Are you looking to cancel your flight, make a change to your booking, or inquire about compensation?'}, {'role': 'user', 'content': ""I'm inquiring about compensation due to the long delay on my flight.""}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_PUs9Dz4CnA662pjDY4dxQrre', function=Function(arguments='{""booking_reference"":""STU901""}', name='check_compensation_eligibility'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I want to know if I am eligible for compensation because of a long delay.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is STU901, my flight number is ABC789, and my name is Jessica Green.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""STU901"",""full_name"":""Jessica Green"",""flight_number"":""ABC789""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_fvDbbPcGFUAQLKggA4ILC7Jq'}, {'role': 'assistant', 'content': 'Are you looking to cancel your flight, make a change to your booking, or inquire about compensation?'}, {'role': 'user', 'content': ""I'm inquiring about compensation due to the long delay on my flight.""}, {'role': 'assistant', 'tool_call': {'name': 'check_compensation_eligibility', 'arguments': '{""booking_reference"":""STU901""}'}}]"
I would like to rebook my flight.,"I want to rebook my flight, and I have provided my details for verification.",process_change_no_fee,"{'booking_reference': 'VWX234', 'new_flight': 'LMG091'}",process_change_no_fee,"{'booking_reference': 'VWX234', 'new_flight': 'March 15, 2024'}",False,"[{'role': 'user', 'content': 'I would like to rebook my flight.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is VWX234, my flight number is XYZ345, and my name is Lucas Brown.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_JmAdRAxAUYap0C8t9BeXC0cv', function=Function(arguments='{""booking_reference"":""VWX234"",""full_name"":""Lucas Brown"",""flight_number"":""XYZ345""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_JmAdRAxAUYap0C8t9BeXC0cv'}, {'role': 'assistant', 'content': 'Are you looking to cancel your flight, make a change to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to change my booking to a different date. Could you help me with that?'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_HYzbWKEznHeI8R4K7O10IcaI', function=Function(arguments='{""booking_reference"":""VWX234""}', name='check_ticket_type'), type='function')], annotations=[]), {'role': 'tool', 'content': 'Ticket type: flexible\nFare rules: ', 'tool_call_id': 'call_HYzbWKEznHeI8R4K7O10IcaI'}, {'role': 'assistant', 'content': 'Would you like to make a same-day change or a change in advance?'}, {'role': 'user', 'content': 'I would like to change my booking to a future date.'}, {'role': 'assistant', 'content': 'Could you please provide the desired change date for your booking?'}, {'role': 'user', 'content': 'I would like to change my booking to March 15, 2024.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_eNexXJ40o8uvCnEF3stHrIR3', function=Function(arguments='{""booking_reference"":""VWX234"",""new_flight"":""March 15, 2024""}', name='process_change_no_fee'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I would like to rebook my flight.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is VWX234, my flight number is XYZ345, and my name is Lucas Brown.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""VWX234"",""full_name"":""Lucas Brown"",""flight_number"":""XYZ345""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_JmAdRAxAUYap0C8t9BeXC0cv'}, {'role': 'assistant', 'content': 'Are you looking to cancel your flight, make a change to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to change my booking to a different date. Could you help me with that?'}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""VWX234""}'}}, {'role': 'tool', 'content': 'Ticket type: flexible\nFare rules: ', 'tool_call_id': 'call_HYzbWKEznHeI8R4K7O10IcaI'}, {'role': 'assistant', 'content': 'Would you like to make a same-day change or a change in advance?'}, {'role': 'user', 'content': 'I would like to change my booking to a future date.'}, {'role': 'assistant', 'content': 'Could you please provide the desired change date for your booking?'}, {'role': 'user', 'content': 'I would like to change my booking to March 15, 2024.'}, {'role': 'assistant', 'tool_call': {'name': 'process_change_no_fee', 'arguments': '{""booking_reference"":""VWX234"",""new_flight"":""March 15, 2024""}'}}]"
I want to cancel my flight because of a medical emergency.,I want to cancel my flight due to a medical emergency.,process_flexible_cancellation,"{'booking_reference': 'YZA567', 'medical_certificate': 'MC1234'}",process_flexible_cancellation,"{'booking_reference': 'YZA567', 'medical_certificate': 'MC1234'}",True,"[{'role': 'user', 'content': 'I want to cancel my flight because of a medical emergency.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is YZA567, my full name is Laura Adams, and my flight number is PQR678.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_HjvQeNKaHeutvD6IbVpisyzt', function=Function(arguments='{""booking_reference"":""YZA567"",""full_name"":""Laura Adams"",""flight_number"":""PQR678""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_HjvQeNKaHeutvD6IbVpisyzt'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, Laura. Since you mentioned a medical emergency, could you please provide a medical certificate?'}, {'role': 'user', 'content': 'My medical reference number is MC1234. Would that suffice for the cancellation process?'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_jU3JE6xNkJtMn5pjcbjkPkJI', function=Function(arguments='{""booking_reference"":""YZA567"",""medical_certificate"":""MC1234""}', name='process_flexible_cancellation'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I want to cancel my flight because of a medical emergency.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is YZA567, my full name is Laura Adams, and my flight number is PQR678.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""YZA567"",""full_name"":""Laura Adams"",""flight_number"":""PQR678""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_HjvQeNKaHeutvD6IbVpisyzt'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, Laura. Since you mentioned a medical emergency, could you please provide a medical certificate?'}, {'role': 'user', 'content': 'My medical reference number is MC1234. Would that suffice for the cancellation process?'}, {'role': 'assistant', 'tool_call': {'name': 'process_flexible_cancellation', 'arguments': '{""booking_reference"":""YZA567"",""medical_certificate"":""MC1234""}'}}]"
I would like to change the passenger name on my group booking.,I want to change the name of one of the passengers in my group booking.,permit_name_change,{'booking_reference': 'BCD890'},permit_name_change,{'booking_reference': 'BCD890'},True,"[{'role': 'user', 'content': 'I would like to change the passenger name on my group booking.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is BCD890, my flight number is QRS123, and my name is Hannah Lee.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_3cMNU3iLIeC5gaSuLjPBSlbH', function=Function(arguments='{""booking_reference"":""BCD890"",""full_name"":""Hannah Lee"",""flight_number"":""QRS123""}', name='verify_identity'), type='function')], annotations=[]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_3cMNU3iLIeC5gaSuLjPBSlbH'}, ChatCompletionMessage(content='Since you have a group booking and would like to change the passenger name, I will ensure that it is within the allowed limits. Let me proceed with that.', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_uzUNhq0Y1wy9KzUvtQJTE5VG', function=Function(arguments='{""booking_reference"":""BCD890""}', name='permit_name_change'), type='function')], annotations=[])]","[{'role': 'user', 'content': 'I would like to change the passenger name on my group booking.'}, {'role': 'assistant', 'content': 'Could you please provide your booking reference, full name, and flight number to verify your identity?'}, {'role': 'user', 'content': 'My booking reference is BCD890, my flight number is QRS123, and my name is Hannah Lee.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""BCD890"",""full_name"":""Hannah Lee"",""flight_number"":""QRS123""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_3cMNU3iLIeC5gaSuLjPBSlbH'}, {'role': 'assistant', 'tool_call': {'name': 'permit_name_change', 'arguments': '{""booking_reference"":""BCD890""}'}}]"
